Police region,Local government area,2012-13,2013-14,2014-15,2015-16,2016-17
North West Metro,Banyule,940.9,974.1,"1,060.80","1,030.60","1,014.30"
North West Metro,Brimbank,986.8,"1,084.30","1,240.50","1,343.30","1,105.00"
North West Metro,Darebin,"1,020.80","1,131.30","1,063.60","1,071.90","1,052.40"
North West Metro,Hobsons Bay,899.5,"1,065.70","1,137.00","1,205.70","1,075.90"
North West Metro,Hume,"1,390.70","1,540.30","1,554.90","1,538.00","1,478.60"
North West Metro,Maribyrnong,956.8,"1,042.40",997.6,"1,089.40",891.8
North West Metro,Melbourne,904.3,945.4,992.2,"1,073.80",995.1
North West Metro,Melton,"1,158.10","1,269.20","1,462.10","1,521.90","1,468.10"
North West Metro,Moonee Valley,812.3,780.1,865.4,901.4,849.9
North West Metro,Moreland,910.8,895.1,996.9,"1,090.20","1,029.00"
North West Metro,Nillumbik,542.6,537.8,677.2,617.5,741.9
North West Metro,Whittlesea,"1,173.20","1,257.20","1,408.90","1,401.00","1,452.30"
North West Metro,Wyndham,"1,055.20","1,139.00","1,174.50","1,353.70","1,182.60"
North West Metro,Yarra,841.8,849.8,879.1,"1,064.60","1,025.00"
North West Metro,Total,"1,013.10","1,085.70","1,161.10","1,222.50","1,147.20"
Eastern,Alpine,590.2,790.4,602,874.3,795.5
Eastern,Bass Coast,"1,391.40","1,543.80","1,736.90","1,957.50","1,572.20"
Eastern,Baw Baw,967.7,"1,202.30","1,420.10","1,539.40","1,400.80"
Eastern,Benalla,"2,219.50","2,227.40","2,072.50","2,804.20","2,787.20"
Eastern,Boroondara,343.3,373.2,366.4,473.6,453.9
Eastern,East Gippsland,"1,925.00","2,284.90","2,403.20","2,290.00","2,057.00"
Eastern,Greater Shepparton,"1,975.90","2,201.80","2,152.50","2,323.60","2,162.70"
Eastern,Indigo,559.9,677.9,750.9,847.6,535.4
Eastern,Knox,"1,028.00",951.2,"1,046.40","1,124.50","1,029.90"
Eastern,Latrobe,"2,697.10","2,772.40","3,123.70","3,681.10","3,376.30"
Eastern,Manningham,487.2,552,592.4,648.6,583.1
Eastern,Mansfield,599.2,803.2,"1,108.00","1,256.30","1,241.60"
Eastern,Maroondah,803,882.3,889.3,"1,047.90",957.9
Eastern,Mitchell,"1,441.40","1,630.50","1,906.90","2,320.50","2,275.20"
Eastern,Moira,750.6,988.7,"1,094.40","1,273.90","1,704.20"
Eastern,Monash,624.2,637.4,666.6,706.5,722.5
Eastern,Murrindindi,868.1,890.4,"1,076.80",922.1,"1,083.00"
Eastern,South Gippsland,957.2,"1,142.30","1,355.20","1,263.50","1,547.50"
Eastern,Strathbogie,639,682.7,922.1,"1,195.00","1,348.20"
Eastern,Towong,815.8,862.8,586.5,"1,033.60","1,361.50"
Eastern,Wangaratta,"1,527.50","1,589.90","1,559.90","1,680.10","1,827.90"
Eastern,Wellington,"1,362.60","1,517.50","1,902.70","2,190.90","1,917.40"
Eastern,Whitehorse,510.6,554.9,620.9,638.9,617.3
Eastern,Wodonga,"1,702.10","1,817.80","2,245.90","2,145.30","1,938.00"
Eastern,Yarra Ranges,731,912.4,911.6,"1,071.90",984.4
Eastern,Total,949.1,"1,033.20","1,115.70","1,238.40","1,168.30"
Southern Metro,Bayside,516.9,529.5,600,597.8,655.7
Southern Metro,Cardinia,"1,407.50","1,353.50","1,449.60","1,493.90","1,252.90"
Southern Metro,Casey,"1,254.20","1,318.10","1,291.40","1,442.80","1,522.50"
Southern Metro,Frankston,"1,716.30","1,754.60","1,834.20","1,969.80","1,968.80"
Southern Metro,Glen Eira,507.1,552,577.4,600.6,669.4
Southern Metro,Greater Dandenong,"1,530.20","1,416.40","1,382.90","1,430.80","1,593.70"
Southern Metro,Kingston,838.8,841,872.7,954.4,962.5
Southern Metro,Mornington Peninsula,"1,084.80","1,144.70","1,251.50","1,311.80","1,214.20"
Southern Metro,Port Phillip,812.5,815.7,906.1,"1,018.70","1,031.70"
Southern Metro,Stonnington,674.2,543.7,609.3,591.5,636.8
Southern Metro,Total,"1,069.10","1,073.20","1,112.90","1,189.60","1,213.60"
Western,Ararat,"1,944.00","1,921.20","2,134.40","2,231.90","2,499.10"
Western,Ballarat,"1,673.90","1,684.00","1,596.60","1,742.90","1,839.70"
Western,Buloke,531.1,690.3,850.1,950.6,"1,108.20"
Western,Campaspe,"1,054.30","1,458.40","1,571.40","1,884.90","1,530.70"
Western,Central Goldfields,"1,608.60","1,974.80","2,285.00","2,395.60","2,623.60"
Western,Colac-Otway,"1,287.10","1,633.80","1,367.20","1,645.80","1,663.50"
Western,Corangamite,776,829.1,828.5,"1,112.20","1,430.90"
Western,Gannawarra,"1,222.00","1,498.70","1,452.30","2,141.80","2,290.50"
Western,Glenelg,"1,384.60","1,400.20","1,585.70","1,575.60","2,144.90"
Western,Golden Plains,491.8,443.1,574.9,646.2,678.4
Western,Greater Bendigo,"1,456.90","1,469.40","1,530.30","1,602.70","1,430.30"
Western,Greater Geelong,"1,147.80","1,231.20","1,342.90","1,361.80","1,399.00"
Western,Hepburn,830.7,853.2,931.3,"1,245.30","1,259.50"
Western,Hindmarsh,"1,106.60",709,"1,028.30","1,872.90","2,024.40"
Western,Horsham,"1,734.00","2,285.30","2,709.40","2,873.60","2,470.60"
Western,Loddon,728.1,856.8,982.1,"1,371.60","1,258.50"
Western,Macedon Ranges,817.1,937.3,859.8,938.9,877.8
Western,Mildura,"2,572.50","2,459.50","2,965.50","3,099.80","3,212.80"
Western,Moorabool,"1,085.30",996.4,"1,217.60","1,468.90","1,448.10"
Western,Mount Alexander,818.3,"1,094.70","1,008.20","1,081.30","1,231.90"
Western,Moyne,607.5,710.1,701.8,705.1,625
Western,Northern Grampians,"1,469.20","1,673.10","1,591.80","2,135.80","1,816.70"
Western,Pyrenees,665.8,574.3,683.6,"1,238.70","1,521.10"
Western,Queenscliffe,163.7,230.8,65.8,195.5,697.9
Western,Southern Grampians,"1,258.30","1,408.30","1,603.70","2,399.80","2,147.40"
Western,Surf Coast,555.5,537.6,714.1,620,559
Western,Swan Hill,"2,690.80","2,469.10","2,637.60","2,848.60","2,786.80"
Western,Warrnambool,"1,329.70","1,572.80","1,772.50","2,050.50","2,000.40"
Western,West Wimmera,489.7,602.9,587.6,674.4,749.9
Western,Yarriambiack,"1,025.50","1,191.20","1,425.20","1,909.30","1,527.00"
Western,Total1,"1,306.10","1,388.00","1,511.10","1,647.00","1,620.70"
Total2,,"1,056.00","1,116.40","1,192.30","1,285.20","1,242.40"
